abbrCountryName,count
in,27885
cn,3244
ca,977
kr,394
mx,297
ru,294
pk,267
fr,248
ua,240
gb,216
br,204
np,196
tw,180
il,178
ph,170
au,142
tr,140
ir,118
bd,116
pl,113
vn,105
de,103
es,99
eg,96
ro,93
it,91
by,84
id,60
sg,60
ve,58
ar,53
jp,52
se,51
ng,45
ie,44
my,43
lk,39
jo,39
co,33
hk,33
gr,33
bg,33
th,32
nz,29
cl,27
lb,26
hu,25
za,23
pt,20
rs,19
nl,18
pe,17
dk,17
ch,16
cr,15
cz,15
fi,15
et,14
md,14
am,13
sy,13
at,12
ma,12
kz,12
be,12
tz,11
al,11
ke,11
jm,10
uz,9
mn,9
gh,9
sa,9
lv,9
sk,9
no,8
ee,7
ge,7
kh,7
do,7
gt,7
cm,7
mk,6
zw,6
lt,6
is,6
ps,6
uy,6
hr,5
cy,5
iq,5
ec,5
bo,5
sv,5
tn,5
az,4
kg,4
rw,3
mm,3
si,3
ug,3
tm,3
pa,3
dz,2
sz,2
kw,2
sn,2
ly,2
ba,2
mw,2
bh,2
ni,2
mo,2
ht,2
me,1
lu,1
bj,1
sd,1
hn,1
tj,1
sc,1
ao,1
zm,1
bf,1
ls,1
bn,1
mg,1
sr,1
rs,1
af,1
mu,1
bz,1
ps,1
ae,1
ad,1
py,1
do,1
ne,1
gn,1
